ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
540,copilot,Medium,https://emregurses.medium.com/github-copilot-in-ios-apps-68e67628f8f1,Github CoPilot in IOS Apps,,"GitHub Copilot are primarily designed to work with Visual Studio Code (VS Code), Visual Studio, JetBrains and Neovim. And not supported officially Xcode. But you can use this insane features anyway. But which way is the smoothest.",6,False,"Jun 18, 2023",6,Positive
541,ai code assistants,Medium,https://thelatestnow.medium.com/list/the-latest-ai-builderseries-77b2160793a2,,,,6,False,,6,Positive
542,ai code assistants,Medium,https://eisabai.medium.com/will-ai-lead-the-charge-and-leave-engineering-managers-behind-f382797c0359,Will AI lead the charge and leave engineering managers behind?,A look into Tech’s next revolution and what it might mean for engineering managers,"Artificial Intelligence (AI) is becoming increasingly prevalent in the workplace and has the potential to disrupt many roles, including engineering management. Over the past decade, we had seen AI replacing repetitive tasks in all industries. For examples, self-serve checkouts replace human cashiers in the retail industry. In the tech industry, AI is increasingly being used to automate data entry tasks, such as scanning documents, extracting data, and entering it into a database. For many industries, chatbots and virtual assistants are now used to provide customer service support, including answering customer inquiries, processing orders, and resolving common issues.",6,True,,6,Positive
543,chatgpt AND code,Medium,https://hackupstate.medium.com/three-ways-to-use-chatgpt-to-succeed-in-and-after-bootcamp-579a902374d7,Three Ways to Use ChatGPT to Succeed in and After Bootcamp,,"The following is written by Careers in Code’s career coach, Laura Thorne.",6,False,,6,Positive
544,chatgpt AND code,Medium,https://leo-vander-meulen.medium.com/using-chatgpt-to-write-a-dall-e-2-application-51316742086a,Using ChatGPT to write a DALL-E 2 application,,Using ChatGPT to create code to generate images by DALL-E using the OpenAI API.,6,True,,6,Positive
545,chatgpt AND code,Medium,https://sebscholl.medium.com/how-to-turn-chatgpt-into-a-voice-enabled-chatbot-in-60-lines-of-code-1e00730bc183,Turn ChatGPT into a Voice-Enabled Chatbot in 60 Lines of Code,,"I recently found an article about someone who built a Zapier integration between Alexa and ChatGPT. Although it was a cool project, I realized it wasn’t necessary to use a third-party platform or Home Speaker to interact with ChatGPT using voice. All the required functionality is natively available in Chrome.",6,True,,6,Positive
546,tabnine,Medium,https://medium.com/authority-magazine/dror-weiss-of-tabnine-on-the-future-of-artificial-intelligence-15913d390756?source=rss-------1,Dror Weiss Of Tabnine On The Future Of Artificial Intelligence,An Interview With David Leichner,"As
a part of our series about the future of Artificial Intelligence, I had the pleasure of interviewing Dror Weiss, co-founder and CEO of Tabnine.",6,False,,6,Positive
547,tabnine,Medium,https://developerjas.medium.com/the-15-advance-vs-code-extensions-for-react-angular-node-asp-net-f78875d92f27,The 15 Advance VS Code Extensions for React | Angular | Node | ASP.NET | SQL | MongoDB developers,,"Bracket Pair Colorizer 2 is an amazing Visual Studio code extension that allows matching brackets to be identified with colors. The user can define which tokens to match, and which colors to use.",6,False,,6,Positive
548,tabnine,Medium,https://hirenmore.medium.com/vs-code-extensions-that-will-make-you-more-productive-f063a694d7f9?source=rss-------1,VS Code extensions that will make you more productive,,Unleash the power of productivity with these hidden gem extensions that are sure to elevate every developer’s game.,6,False,,6,Positive
549,tabnine,Medium,https://preettheman.medium.com/awesome-vs-code-extensions-for-rust-cd53a7c6a557,Awesome VS Code extensions for Rust,,"Welcome back! Rust is an awesome programming language with a ton of capability, if you’re new to Rust, check out the link below to learn more about it:",6,True,,6,Positive
550,tabnine,Medium,https://wakeupcoders.medium.com/ai-is-going-to-take-jobs-of-software-engineers-lets-see-how-90671debc,"AI is going to take jobs of Software Engineers, Lets See How ?",,Software industry is one of the amazing industry in all over the world. From last few years IT sector has boomed to the next level. This is one of such industry which never stopped even in the time of Pandemic (Covid-19). But the real pandemic of IT Sector is about to start.,6,False,,6,Positive
551,tabnine,Medium,https://medium.com/@aroshelova.tech/revolutionizing-development-exploring-ai-powered-code-tools-copilot-and-tabnine-6e1a88f1a2d7,Revolutionizing Development: Exploring AI-Powered Code Tools — Copilot and Tabnine,,"Utilizing AI-powered code tools can revolutionize your coding experience, enabling you to boost your coding efficiency and minimize the time required to resolve bugs, whether you’re developing a new product or fine-tuning your current code.",6,False,,6,Positive
552,copilot,Medium,https://gkmit.medium.com/github-copilot-a-new-tool-which-writes-its-own-code-is-the-future-here-c468ca2774ad?source=user_profile---------3----------------------------,GitHub Copilot — A new tool which writes its own code. Is the future here?,,"Through more innovation comes easy peasy tips and techniques. To help programmers write better code OpenAI and Microsoft have come together to release a technical preview of Github Copilot. As of January 2020, Github reported 190 million repositories and 28 million (including) public repositories, making it the world’s largest host of source code. The Github tool is acquainted with specific functions and features that help developers quickly recover and discover alternative ways for problem-solving, writing tests and new API exploration.",5,False,"Jul 19, 2021",5,Positive
553,copilot,Medium,https://paravatha.medium.com/github-copilot-your-friendly-neighborhood-ai-pair-programmer-158daf60ff54,GitHub Copilot: Your friendly neighborhood AI pair programmer!,,First impressions : GitHub’s Co-Pilot using OpenAI Codex is a game changer.,5,False,"Oct 29, 2021",5,Positive
554,copilot,Medium,https://ibiyemipedro.medium.com/github-copilot-big-pros-vs-big-cons-1620ea1725ee,GitHub copilot - Big Pros vs Big Cons,,"I started writing this article, three months ago but never got to finish it but now it seems more important to share this",5,False,"Jan 03, 2023",5,Positive
555,codewhisperer,Medium,https://saneryee-studio.medium.com/chatgpt-weekly-news-e2-63d69159882a?source=user_profile---------4----------------------------,ChatGPT Weekly News: E2,Bringing you the latest news on ChatGPT things and AI this week,"In the era of ChatGPT, evolution is calculated in days. Every day, many disruptive and innovative AI products are born, and some of them will revolutionize the industry they are in. This article will summarize the news of ChatGPT-related products that appeared this week and my personal opinion for my subscribers (Note: this article is not generated by ChatGPTs)",5,True,"Apr 17, 2023",5,Positive
556,codewhisperer,Medium,https://medium.com/globant/the-incredibles-of-generative-ai-parijatsardesai-akhilanandsingh-256c446d11cb,The Incredibles of Generative AI,"How three tech giants Microsoft, Google, and Amazon are competing with one another in the Generative AI race",Co-Author: Parijat Sardesai,5,False,"Jun 21, 2023",5,Positive
557,codewhisperer,Medium,https://medium.com/@sharjeelriazsh/unleashing-the-ai-copilot-a-developers-journey-with-aws-codewhisperer-e4d32ac5f0eb,Unleashing the AI Copilot: A Developer’s Journey with AWS CodeWhisperer,,"Welcome to the world of AWS Code Whisperer, an AI copilot designed to revolutionize the way developers write code. If you’ve ever wished for an intelligent assistant to enhance your coding experience, this review is for you.",5,False,,5,Positive
558,ai code assistants,Medium,https://dipeshpal17.medium.com/introducing-jarvisai-building-advanced-ai-assistants-and-chatbots-made-easy-with-jarvisai-and-ac9c9db350f4?source=rss-------1,Introducing JarvisAI: Building Advanced AI Assistants and Chatbots Made Easy with JarvisAI and ChatGPT Integration,,"Are you looking for an easy-to-use, customizable AI assistant that can perform a wide range of tasks? Look no further than JarvisAI, a Python module that is designed to provide base functionality for any assistant application.",5,False,,5,Positive
559,codewhisperer,Medium,https://saneryee-studio.medium.com/chatgpt-weekly-news-e2-63d69159882a,ChatGPT Weekly News: E2,Bringing you the latest news on ChatGPT things and AI this week,"In the era of ChatGPT, evolution is calculated in days. Every day, many disruptive and innovative AI products are born, and some of them will revolutionize the industry they are in. This article will summarize the news of ChatGPT-related products that appeared this week and my personal opinion for my subscribers (Note: this article is not generated by ChatGPTs)",5,True,,5,Positive
560,copilot,Medium,https://thesundayprogrammer.medium.com/copilot-does-it-right-for-python-but-not-c-bb03bc1df077,,,CoPilot does it right for Python but not C++,5,False,,5,Positive
561,tabnine,Medium,https://preettheman.medium.com/amazing-vs-code-extensions-you-should-use-d18a72fb4fbb,Amazing VS Code Extensions You Should Use,,"Welcome back! VS Code is a very popular code editor used by tons of people, if you’re new to this editor, check out the link below to learn more about it:",5,True,,5,Positive
562,tabnine,Medium,https://medium.com/getpieces/tabnine-pieces-for-developers-is-a-win-win-for-your-workflow-a31d7236fbd0,Tabnine + Pieces for Developers is a Win-Win for your Workflow,,"As the field of software development continues to grow, so does the number of tools available to developers. One such tool is Tabnine, a generative AI code completion tool that can help developers write code faster and with fewer errors. Another tool that has been gaining popularity is Pieces for Developers, which allows developers to save and manage their code in a more efficient and organized way, complete with contextual metadata to make it more useful across different platforms. While these two tools are useful on their own, using them together can be even more powerful. Let’s explore how Tabnine and Pieces for Developers work together to enhance the development experience, and why this combination is becoming a popular choice for developers using generative AI tools.",5,False,,5,Positive
563,tabnine,Medium,https://preettheman.medium.com/best-extensions-for-vs-code-in-2022-6c3b8daf23a7,Best extensions for VS Code in 2022,,"Welcome back! VS Code is one of my favorite editors to use for my coding projects, in fact, I have consistently rated it as one of my favorite editors to use:",5,True,,5,Positive
564,tabnine,Medium,https://preettheman.medium.com/awesome-vs-code-extension-you-should-check-out-109e8846a42a,Awesome VS Code Extension You Should Check Out,,"Welcome back! VS Code is an awesome code editor that tons of people use, if you’re new to VS Code, check out the link below to learn more about it:",5,True,,5,Positive
565,codewhisperer,Medium,https://cmani.medium.com/a-cheat-sheet-for-using-amazon-elastic-load-balancing-classic-load-balancer-network-load-9d73351a4aff,"A cheat sheet for using Amazon Elastic Load Balancing — Classic Load Balancer, Network Load Balancer & Application Load Balancer with Amazon Elastic Container Service for Kubernetes (EKS)",,The two resources for Amazon EKS that I usually refer are https://docs.aws.amazon.com/eks/latest/userguide/what-is-eks.html and the AWS Kubernetes workshop available at https://github.com/aws-samples/aws-workshop-for-kubernetes .,4,False,"Aug 24, 2018",4,Positive
566,codewhisperer,Medium,https://cmani.medium.com/getting-started-with-amazon-workspaces-with-your-own-custom-workspaces-bundle-b996c6fcaa52,Getting started with Amazon WorkSpaces with your own custom WorkSpaces bundle !!,,"Note: This is not an official blog or documentation, just a quick summary of the steps that I did to create a custom bundle/image for Amazon Workspaces",4,False,"Apr 06, 2020",4,Positive
567,codewhisperer,Medium,https://cmani.medium.com/aws-container-day-announcements-a-recap-a4dac2b7ea2f,AWS Container Day announcements — a recap,,This is short summary of some of the key announcements that were announced at the AWS Container Day at KubeCon this week on 17th August 2020 — https://awscontainerday.splashthat.com/,4,False,"Aug 19, 2020",4,Positive
568,codewhisperer,Medium,https://cmani.medium.com/running-a-amazon-corretto-based-java-app-on-an-amazon-eks-cluster-powered-by-aws-graviton2-based-abdd1ad1c703,Running a Amazon Corretto based Java app on an Amazon EKS cluster powered by AWS Graviton2 based EC2 worker nodes,,"We just published a blog on Amazon Elastic Kubernetes Service (EKS) being generally available on the Graviton2 processors by
Michael Hausenblas
, using Graviton2 based instances for running EKS worker nodes",4,False,"Aug 25, 2020",4,Positive
569,copilot,Medium,https://shubham654.medium.com/github-copilot-your-ai-pair-programmer-eb3c94517bbb,GitHub Copilot! Your AI pair programmer.,,"GitHub Copilot is powered by Codex, the new AI system created by OpenAI. GitHub Copilot understands significantly more context than most code assistants. So, whether it’s in a docstring, comment, function name, or the code itself, GitHub Copilot uses the context you’ve provided and synthesizes code to match.",4,False,"Jun 30, 2021",4,Positive
570,copilot,Medium,https://mcrosetti.medium.com/my-3-days-experience-using-github-copilot-surprisingly-smart-3c6e59fa0bc9?source=author_recirc-----13aaa7b9a130----0----------------------------&responsesOpen=true&sortBy=REVERSE_CHRON,My 3-days experience using Github Copilot: surprisingly smart!,,Github Copilot is an editor extension launched by Github which makes code suggestions while you are programming.,4,False,"Dec 29, 2021",4,Positive
571,copilot,Medium,https://duncanlew.medium.com/explain-and-translate-your-code-with-github-copilot-39f4e8a9ecb2,Explain and Translate Your Code With GitHub Copilot,Boost your understanding with natural language descriptions of your code,GitHub Copilot is the new kid in town with a unique set of features that even seasoned developers can use to their advantage. One of the main selling points of GitHub Copilot is its ability to provide suggested lines of code assisted with AI. A specific feature that doesn’t get much attention is called Copilot Explain.,4,False,"Aug 21, 2022",4,Positive
572,copilot,Medium,https://janisagar.medium.com/github-co-pilot-afbb8edae127,GitHub Copilot,,"Open AI Codex, a machine learning model that translates natural language into code, powers GitHub Copilot to draw context from comments and code to suggest individual lines and whole functions as you type. Codex is a version of GPT-3 (Generative Pre-trained Transformer 3) fine-tuned for programming tasks. Some of your favourite applications, like Duolingo, use GPT-3 for grammar correction.",4,False,"Nov 09, 2022",4,Positive
573,copilot,Medium,https://odsc.medium.com/github-codespaces-and-github-copilot-2-stories-thousands-of-possibilities-9e0e28ae706c,"GitHub Codespaces and GitHub Copilot: 2 Stories, Thousands of Possibilities",,"The year 2022 marked a turning point for GitHub and all its users, with the announcement of the general availability of two revolutionary services for developers: GitHub Codespaces and GitHub Copilot. A Codespace is a development environment hosted in the cloud and accessible via a web browser through one click, with the same graphical interface as the local Visual Studio Code IDE. GitHub Copilot is an AI-empowered pair programmer that offers autocomplete-style suggestions as you code in different programming languages (like Python, C++, Javascript, and more). But to give you a deeper understanding of what these services are and how you could benefit from them, let me tell you a story, or better two.",4,False,"Mar 07, 2023",4,Positive
574,copilot,Medium,https://arvindn-iitkgp.medium.com/openai-codex-vs-github-copilot-vs-chatgpt-for-writing-and-generating-code-15cb68004470,OpenAI Codex vs GitHub Copilot vs ChatGPT for writing and generating code,,"OpenAI has been a major player in the development of cutting-edge AI technologies that can perform a variety of tasks, including natural language processing, machine learning, and code generation. Three of the most prominent OpenAI tools for code generation are OpenAI Codex, GitHub Copilot, and ChatGPT. Each of these tools has its own unique strengths and weaknesses, and understanding them is essential for anyone who wants to write code using AI.",4,False,"Mar 27, 2023",4,Positive
575,copilot,Medium,https://bhardwajmanu.medium.com/github-copilot-unlocking-the-full-potential-of-ai-powered-code-assistance-5a4e2c5ba9a3?source=rss-------1,GitHub Copilot: Unlocking the Full Potential of AI-Powered Code Assistance,,By Manu Bhardwaj,4,False,"Apr 14, 2023",4,Positive
576,copilot,Medium,https://wethinkapp.medium.com/github-copilot-and-the-impact-of-ai-on-developer-productivity-we-think-app-98d13ed4dc6b,GitHub Copilot and the Impact of AI on Developer Productivity — We Think App,,"OpenAI’s Codex, also known as GitHub Copilot, is a machine learning model that can generate code snippets and suggest improvements based on natural language input from developers.GitHub Copilot is the latest addition to the world of Artificial Intelligence (AI) and machine learning. The technology is designed to help developers write code quickly and efficiently. GitHub Copilot is an AI-based coding assistant that works alongside developers to provide real-time suggestions and autocomplete functions that simplify and speed up the coding process.",4,False,"May 28, 2023",4,Positive
577,ai code assistants,Medium,https://garystafford.medium.com/unlocking-the-potential-of-generative-ai-for-synthetic-data-generation-f42907cf0879,Unlocking the Potential of Generative AI for Synthetic Data Generation,"Explore the capabilities and applications of generative AI to create realistic synthetic data for software development, analytics, and machine learning",Generative AI refers to a class of artificial intelligence algorithms capable of generating new data similar to a given dataset. These algorithms learn the underlying patterns and relationships in the data and use this knowledge to create new data consistent with the original dataset. Generative AI is a rapidly evolving field that has the potential to revolutionize the way we generate and use data.,4,True,,4,Positive
578,ai code assistants,Medium,https://suryamaddula.medium.com/what-is-aiaas-a08913abf37a,What is AIaaS?,,Images used in these articles are property of the respective organizations and are used here solely for reference and illustrative purposes only.,4,False,,4,Positive
579,ai code assistants,Medium,https://spaceandlemon.medium.com/ai-based-assistants-for-writing-copy-very-impressive-ce8a5be69e9b,AI-based assistants for writing copy. Very impressive!,,"Discover 3 original digital news, invest one minute and be a better professional!",4,False,,4,Positive
580,chatgpt AND code,Medium,https://tracyrenee61.medium.com/what-happened-when-i-used-chatgpt-to-code-in-python-671e9759b25e,What happened when I used ChatGPT to code in Python,,"ChatGPT became available to the public on 30 November 2022, but I only just heard of it early in 2023. I was intrigued by this new chatbot, as I had never used one before. I had only ever used Google Search, but since I had seen such magnificent reviews of the product I decided that I must give it a try.",4,True,,4,Positive
581,chatgpt AND code,Medium,https://asdc163.medium.com/the-code-interpreter-functionality-in-chatgpt-997779ea9a26,The “Code Interpreter” Functionality in ChatGPT,,"The “Code Interpreter” is a feature of ChatGPT that allows it to understand, write, and execute code within a conversational context. It can interpret various programming languages, although Python is the most commonly used due to its simplicity and popularity in data analysis and machine learning tasks.",4,False,,4,Positive
582,chatgpt AND code,Medium,https://webuters.medium.com/how-to-use-chatgpt-effectively-to-increase-developer-efficiency-f2d908832be1,How to Use ChatGPT Effectively to Increase Developer Efficiency?,,"The ability of ChatGPT, an artificial intelligence model developed by OpenAI, to generate human-like responses to text inputs has taken the world by storm. Despite its popularity, many people are not taking full advantage of it. The widespread misconception is that ChatGPT is an all-knowing being capable of providing precise answers to any question, but this is not the case. To fully utilize ChatGPT’s capabilities, you must first understand its limitations and how to use it correctly.",4,False,,4,Positive
583,chatgpt AND code,Medium,https://odsc.medium.com/chatgpt-passes-another-test-amazons-software-interview-questions-d9e9713c58d9,ChatGPT Passes Another Test — Amazon’s Software Interview Questions,,"It seems that OpenAI’s ChatGPT is on a roll when it comes to tests. Recently, the popular AI was able to pass an MBA examination, surprising some. Now, ChatGPT has answered the technical interview questions correctly for a software position at Amazon according to Business Insider. This information comes from internal Slack messages within the company. According to the discussion, the chatbot was able to correctly answer some of Amazon’s interview questions for a software coding position. Though not spotlessly.",4,False,,4,Positive
584,chatgpt AND code,Medium,https://colinbudd.medium.com/building-your-first-chrome-extension-with-chatgpt-zero-programming-required-c646eb0635f7,Building Your First Chrome / Edge Extension with ChatGPT — Zero Programming Required,Leverage the power of ChatGPT to build your own Productivity Countdown Timer — all without any programming knowledge or experience needed,"In today’s fast-paced world, staying focused and productive can be a real challenge. With endless distractions just a click away, it’s easy to lose track of time and find yourself spending hours online without getting anything done. (Not that I’d ever know from personal experience, but I’ve heard rumors.)",4,False,,4,Positive
585,codewhisperer,Medium,https://medium.com/@sami.alashabi/comparing-github-copilot-and-amazon-codewhisperer-ai-powered-code-generation-tools-e6b4da8d73f3,Comparing GitHub Copilot and Amazon CodeWhisperer: AI-Powered Code Generation Tools,,"Introduction: GitHub Copilot and Amazon CodeWhisperer are AI-powered code generation tools that aim to enhance developer productivity and streamline software development processes. They analyze code snippets, provide suggestions, and generate code segments based on the context provided. This blog post compares these tools and helps developers determine which one aligns best with their specific requirements. #GitHubCopilot #CodeWhisperer #AI #CodeGeneration",4,False,,4,Positive
586,codewhisperer,Medium,https://medium.com/@amitraikkr/using-ai-powered-amazon-codewhisperer-making-coding-easier-and-better-42507b94701c?responsesOpen=true&sortBy=REVERSE_CHRON,Using AI-Powered Amazon CodeWhisperer: Making Coding Easier and Better,,"Amazon CodeWhisperer is like a coding buddy that uses artificial intelligence (AI) to help you write code faster. It gives you real-time suggestions for a single line or a whole function in your coding platform (IDE) to help you build software more quickly. CodeWhisperer’s suggestions come from big models that have learned from billions of lines of code, including Amazon’s code and other codes that are freely available to everyone.",4,True,,4,Positive
587,codewhisperer,Medium,https://neha-tomar.medium.com/generative-ai-with-aws-3e0399621cd6?responsesOpen=true&sortBy=REVERSE_CHRON,Generative AI with AWS,,"Generative AI, a form of artificial intelligence, has the ability to produce fresh content and concepts such as discussions, narratives, visuals, videos, and music. It relies on extensive pre-training of large models known as foundation models (FMs) using vast amounts of data.",4,False,,4,Positive
588,copilot,Medium,https://vik-y.medium.com/level-up-your-sre-game-best-of-this-week-19th-feb-2023-6af4bfe9dfab,Level up your SRE Game — Best of this week — 19th Feb 2023,,I compile Site Reliability Engineering/DevOps-related articles every week and help you keep up your learning game.,4,False,,4,Positive
589,copilot,Medium,https://ricomariani.medium.com/and-having-seen-ms-copilot-i-can-say-i-feel-so-good-about-the-above-c375f91d133a,,,"And having seen MS Copilot I can say I feel so good about the above. Copilot is exactly the kind of thing I was hoping would appear. It's grounded, it's operationalizing of good ideas an existing data, it makes sense to customers immediately, it's not black magic, and it solves real problems. It is exactly the kind of once-a-decade thing that makes you feel like ""I'm so glad I was here to see this!""",4,False,,4,Positive
590,copilot,Medium,https://preettheman.medium.com/github-copilot-just-got-an-upgrade-72f86c629342?source=rss-------1,GitHub Copilot Just Got An Upgrade,,"Welcome back! GitHub Copilot is an awesome code completion tool developed by Microsoft, and this tool just ended up getting another update! So, let’s take a look at this new version of GitHub Copilot!",4,True,,4,Positive
591,copilot,Medium,https://kotharthar.medium.com/making-own-copilot-x-command-line-with-gpt-3-fb498d569203?source=user_profile---------0----------------------------,Making own Copilot-X command line with GPT-3,,"I’m a big fan of GitHub Copilot, and I use it all the time in VS Code and NeoVim for assisted programming and documentation writing. Recently, I was inspired by the command line output of Copilot-X, so I decided to build my own command line program that produces similar output.",4,False,,4,Positive
592,tabnine,Medium,https://preettheman.medium.com/5-vs-code-extensions-to-improve-your-workflow-83b8decb0f31,5 VS Code extensions to improve your workflow,,"Welcome back! VS Code is an awesome code editor, if you’re new to this editor, check out the link below to learn more about it:",4,True,,4,Positive
593,tabnine,Medium,https://sj-porter.medium.com/have-you-tried-pylance-for-vs-code-if-not-heres-why-you-should-a8a7b5adc5f2?source=author_recirc-----72853ba39128----0----------------------------&responsesOpen=true&sortBy=REVERSE_CHRON,"Have you tried Pylance for VS Code? If not, here’s why you should.",The latest language server for Python (from Microsoft) is a massive productivity enhancer.,"If you work with Python and Visual Studio Code, go ahead and do yourself a favor: download the Pylance extension (preview) and try it out for yourself.",4,True,,4,Positive
594,tabnine,Medium,https://sri-harsha-nitesh.medium.com/code-completion-on-steroids-b1f197a6c530?source=rss-306354101726------2,Code completion on Steroids?,,"When I used to be in engineering when I first started programming(2011), I started with the C language. At that point in time, We used to write code in some C compilers that will not have any advanced features. The only shortcuts we have are basically to compile the code and execute code. even the mouse will have limited power in that application.",4,False,,4,Positive
595,codewhisperer,Medium,https://cmani.medium.com/using-amazon-ec2-a1-instances-for-running-containers-on-amazon-ecs-a32cb8df7677,Using Amazon EC2 A1 Instances for running containers on Amazon ECS,,"F
rom https://aws.amazon.com/ec2/instance-types/a1/ — “ Amazon EC2 A1 instances deliver significant cost savings for scale-out and Arm-based applications such as web servers, containerized microservices, caching fleets, and distributed data stores that are supported by the extensive Arm ecosystem. A1 instances are the first EC2 instances powered by AWS Graviton Processors that feature 64-bit Arm Neoverse cores and custom silicon designed by AWS. These instances will also appeal to developers, enthusiasts, and educators across the Arm developer community. Most architecture-agnostic applications that can run on Arm cores could also benefit from A1 instances.”",3,False,"Aug 29, 2019",3,Positive
596,codewhisperer,Medium,https://cmani.medium.com/java-apps-on-amazon-corretto-aws-ec2-a1-instances-on-amazon-elastic-container-services-is-an-1a0c0d127fc2,Java apps (on Amazon Corretto) + AWS EC2 A1 Instances on Amazon Elastic Container Services is an awesome and cost effective combination !!,,"I thought for some time on what the title of this blog should be, did not want it to be just a click bait, but rather something that can differentiate from my two other blogs on Amazon Corretto and AWS EC2 A1 which were two blogs introducing Corretto with AWS Fargate and running a GO based app on EC2 A1 instances !!",3,False,"Oct 21, 2019",3,Positive
597,codewhisperer,Medium,https://cmani.medium.com/access-windows-based-ec2-instances-securely-using-the-remote-desktop-gateway-rd-gateway-on-aws-f8bb8408d58e,Access Windows based EC2 Instances securely using the Remote Desktop Gateway (RD Gateway) on AWS — by leveraging the AWS RD Gateway Quick Start,,"W
hen someone asks for a solution to access Windows-based instances using the Remote Desktop Protocol (RDP) on AWS, the most logical service to recommend is Amazon WorkSpaces — which is a managed, secure Desktop-as-a-Service (DaaS) solution from AWS — https://aws.amazon.com/workspaces/",3,False,"Apr 13, 2020",3,Positive
598,copilot,Medium,https://shaikzaffar.medium.com/what-is-github-copilot-c3ba353ddcd6,What is GitHub Copilot?,,"As we all know,AI is bringing huge difference in each and every industry. Here’s the Github Copilot which is an AI system created by OpenAI and Github (announced on 29 June 2021).
Github Copilot helps the coders in generating the source code.It will convert all your comments into code which increases the productivity ,saves a lot more time and makes you lazy",3,False,"Jul 01, 2021",3,Positive
599,codewhisperer,Medium,https://medium.com/@jonas.a.neumann/how-to-make-visual-studio-code-your-l-ide-saber-d4c64cd6aa13,How to make Visual Studio Code your L-IDE-saber,,"Hi! I hope you’re not facepalming because of the bad pun in the title. The content of this post is serious, I promise!",3,False,"Sep 25, 2022",3,Positive
600,copilot,Medium,https://nuwans.medium.com/why-programmers-should-fear-github-copilot-2a8333d1aaa4,Why Programmers should fear GitHub Copilot,And other Transformer Driven Coding Tools,"For those who don’t know, GitHub Copilot is an AI powered code auto-completion tool developed by OpenAI in collaboration with GitHub and Microsoft. It is built on top of GPT and is a (sort of) cousin of ChatGPT. It supports a range of programming languages including Python and JavaScript.",3,False,"Feb 19, 2023",3,Positive
601,codewhisperer,Medium,https://ravindraelicherla.medium.com/technologies-to-learn-in-2023-to-excel-in-your-career-7ecbd6ee6e7a?source=rss-b1617af467ef------2,Technologies to learn in 2023 to excel in your career,,Below is my take on technologies to learn in 2023 for Indian software developers. Number of jobs mentioned next to technologies is from naukri.com which is India’s popular job portal. This search is as of 5th March 2023.,3,False,"Mar 07, 2023",3,Positive
602,copilot,Medium,https://garystafford.medium.com/accelerating-development-with-generative-ai-powered-coding-tools-f1480664b6ab,Accelerate Software Development with Six Popular Generative AI-Powered Coding Tools,"Explore six popular generative AI-powered tools, including ChatGPT, Copilot, CodeWhisperer, Tabnine, Bing, and ChatSonic","Modern software systems continue to grow inherently more complex over time. We have evolved from bulky monoliths to loosely coupled, event-driven, fault-tolerant, stateless, serverless, cloud-native, real-time, microservices-based, API-first, continuously deployed distributed systems, festooned with CQRS, 2PC, DDD, EDA, DOMA, Sagas, BFFs, GraphQL, gRPC, micro-frontends, contract tests, and Hexagonal architectures. Generative AI-powered coding tools do not necessarily make a developer’s job easier — they assist developers in dealing with increasing system complexity.",3,True,"Mar 25, 2023",3,Positive
603,codewhisperer,Medium,https://semaphoreci.medium.com/10-best-alternatives-to-chatgpt-developer-edition-6ea6d744e226?source=user_profile---------6----------------------------,10 Best Alternatives To ChatGPT: Developer Edition,,"ChatGPT has been on the rise since its introduction. It completely changed how everyone, including developers, uses AI. This chatbot has significantly improved numerous areas, such as precise search results, enhanced human skills, and most importantly, coding.",3,False,"May 04, 2023",3,Positive
604,codewhisperer,Medium,https://blusharkmedia.medium.com/democratizaci%C3%B3n-del-c%C3%B3digo-c%C3%B3mo-los-cursos-de-ia-de-aws-est%C3%A1n-rompiendo-barreras-y-dando-forma-al-7a523a11dc5d?source=rss-------1,Democratización del código: cómo los cursos de IA de AWS están rompiendo barreras y dando forma al futuro de la codificación,,"En el mundo de la tecnología, donde la innovación y la transformación son la regla y no la excepción, Amazon Web Services (AWS) se ha embarcado en una emocionante misión para democratizar el acceso al revolucionario reino de la inteligencia artificial (IA). Esta visión condujo a la creación de siete cursos integrales destinados a aprovechar el poder de la IA para mejorar nuestra capacidad de codificar y, a su vez, transformar nuestra realidad digital.",3,False,"July 27, 2023",3,Positive
605,ai code assistants,Medium,https://peteweishaupt.medium.com/ai-ethics-buggy-code-falling-in-love-with-algorithms-and-leveraging-data-64663eaae97c?source=user_profile---------23----------------------------,"AI Ethics, Buggy Code, Falling in Love with Algorithms, and Leveraging Data","AI Bytes: Volume CI, Issue #6","Get smarter faster with AI Bytes: 3 articles, 2 podcasts, and 1 video.",3,False,,3,Positive
606,ai code assistants,Medium,https://advaithunni.medium.com/actions-on-google-assistant-1a817b909a4e,Actions on Google Assistant,,"We all have heard about Google assistant. Google Assistant is an artificial intelligence-powered virtual assistant developed by Google. Google assistant is used widely around the world compared to other virtual assistants like Siri , Alexa ,etc.Have you ever thought that you could develop an app in google assistant even without a single line of code.",3,False,,3,Positive
607,ai code assistants,Medium,https://medium.com/@swageyjohn60/exploring-the-future-of-artificial-intelligence-f2d3be2c476a,Exploring the Future of Artificial Intelligence,,"Artificial Intelligence, often referred to as AI, has become a transformative force in today’s world. It has the potential to reshape industries, revolutionize our daily lives, and even alter the course of human history. From self-driving cars to virtual assistants, AI has already made significant advancements, and its future promises even more remarkable developments. In this article, we will delve into the fascinating world of AI, exploring its current state, potential future advancements, and the ethical and societal considerations that come with it.",3,False,,3,Positive
